ano,dia,mes,casamentos
1990,08,Abril,172
1990,08,Maio,29
1990,08,Junho,89
1990,08,Julho,241
1990,08,Agosto,105
1990,08,Setembro,1428
1990,08,Outubro,55
1990,08,Novembro,61
1990,08,Dezembro,774
1990,09,Janeiro,46
1990,09,Fevereiro,52
1990,09,Março,56
1990,09,Abril,71
1990,09,Maio,56
1990,09,Junho,677
1990,09,Julho,49
1990,09,Agosto,135
1990,09,Setembro,366
1990,09,Outubro,44
1990,09,Novembro,70
1990,09,Dezembro,137
1990,10,Janeiro,46
1990,10,Fevereiro,488
1990,10,Março,500
1990,10,Abril,49
1990,10,Maio,50
1990,10,Junho,172
1990,10,Julho,41
1990,10,Agosto,119
1990,10,Setembro,76
1990,10,Outubro,61
1990,10,Novembro,479
1990,10,Dezembro,65
1990,11,Janeiro,47
1990,11,Fevereiro,82
1990,11,Março,102
1990,11,Abril,73
1990,11,Maio,58
1990,11,Junho,36
1990,11,Julho,51
1990,11,Agosto,2188
1990,11,Setembro,42
1990,11,Outubro,47
1990,11,Novembro,64
1990,11,Dezembro,35
1990,12,Janeiro,68
1990,12,Fevereiro,59
1990,12,Março,60
1990,12,Abril,44
1990,12,Maio,695
1990,12,Junho,53
1990,12,Julho,75
1990,12,Agosto,680
1990,12,Setembro,73
1990,12,Outubro,79
1990,12,Novembro,50
1990,12,Dezembro,72
1990,13,Janeiro,468
1990,13,Fevereiro,22
1990,13,Março,15
1990,13,Abril,1
1990,13,Maio,278
1990,13,Junho,82
1990,13,Julho,40
1990,13,Agosto,69
1990,13,Setembro,61
1990,13,Outubro,603
1990,13,Novembro,15
1990,13,Dezembro,49
1990,14,Janeiro,116
1990,14,Fevereiro,60
1990,14,Março,41
1990,14,Abril,108
1990,14,Maio,47
1990,14,Junho,35
1990,14,Julho,1133
1990,14,Agosto,85
1990,14,Setembro,95
1990,14,Outubro,156
1990,14,Novembro,36
1990,14,Dezembro,82
1990,15,Janeiro,33
1990,15,Fevereiro,63
1990,15,Março,60
1990,15,Abril,139
1990,15,Maio,33
1990,15,Junho,70
1990,15,Julho,319
1990,15,Agosto,416
1990,15,Setembro,1277
1990,15,Outubro,45
1990,15,Novembro,50
1990,15,Dezembro,1044
1990,16,Janeiro,39
1990,16,Fevereiro,61
1990,16,Março,62
1990,16,Abril,67
1990,16,Maio,46
1990,16,Junho,651
1990,16,Julho,68
1990,16,Agosto,118
1990,16,Setembro,335
1990,16,Outubro,45
1990,16,Novembro,57
1990,16,Dezembro,201
1990,17,Janeiro,47
1990,17,Fevereiro,547
1990,17,Março,467
1990,17,Abril,48
1990,17,Maio,47
1990,17,Junho,142
1990,17,Julho,57
1990,17,Agosto,120
1990,17,Setembro,58
1990,17,Outubro,48
1990,17,Novembro,470
1990,17,Dezembro,72
1990,18,Janeiro,55
1990,18,Fevereiro,80
1990,18,Março,82
1990,18,Abril,63
1990,18,Maio,64
1990,18,Junho,69
1990,18,Julho,71
1990,18,Agosto,2064
1990,18,Setembro,60
1990,18,Outubro,44
1990,18,Novembro,78
1990,18,Dezembro,50
1990,19,Janeiro,65
1990,19,Fevereiro,59
1990,19,Março,44
1990,19,Abril,67
1990,19,Maio,613
1990,19,Junho,33
1990,19,Julho,58
1990,19,Agosto,531
1990,19,Setembro,50
1990,19,Outubro,51
1990,19,Novembro,44
1990,19,Dezembro,85
1990,20,Janeiro,551
1990,20,Fevereiro,30
1990,20,Março,44
1990,20,Abril,89
1990,20,Maio,176
1990,20,Junho,58
1990,20,Julho,85
1990,20,Agosto,92
1990,20,Setembro,76
1990,20,Outubro,657
1990,20,Novembro,39
1990,20,Dezembro,132
1990,21,Janeiro,87
1990,21,Fevereiro,58
1990,21,Março,63
1990,21,Abril,988
1990,21,Maio,36
1990,21,Junho,55
1990,21,Julho,1249
1990,21,Agosto,40
1990,21,Setembro,85
1990,21,Outubro,96
1990,21,Novembro,31
1990,21,Dezembro,163
1990,22,Janeiro,49
1990,22,Fevereiro,68
1990,22,Março,52
1990,22,Abril,150
1990,22,Maio,34
1990,22,Junho,61
1990,22,Julho,339
1990,22,Agosto,87
1990,22,Setembro,1000
1990,22,Outubro,36
1990,22,Novembro,47
1990,22,Dezembro,1353
1990,23,Janeiro,32
1990,23,Fevereiro,82
1990,23,Março,51
1990,23,Abril,66
1990,23,Maio,42
1990,23,Junho,628
1990,23,Julho,45
1990,23,Agosto,85
1990,23,Setembro,243
1990,23,Outubro,20
1990,23,Novembro,73
1990,23,Dezembro,348
1990,24,Janeiro,36
1990,24,Fevereiro,566
1990,24,Março,476
1990,24,Abril,49
1990,24,Maio,50
1990,24,Junho,107
1990,24,Julho,48
1990,24,Agosto,78
1990,24,Setembro,58
1990,24,Outubro,39
1990,24,Novembro,514
1990,24,Dezembro,18
1990,25,Janeiro,54
1990,25,Fevereiro,97
1990,25,Março,142
1990,25,Abril,24
1990,25,Maio,67
1990,25,Junho,43
1990,25,Julho,76
1990,25,Agosto,1659
1990,25,Setembro,48
1990,25,Outubro,48
1990,25,Novembro,77
1990,25,Dezembro,32
1990,26,Janeiro,72
1990,26,Fevereiro,47
1990,26,Março,45
1990,26,Abril,65
1990,26,Maio,662
1990,26,Junho,38
1990,26,Julho,87
1990,26,Agosto,408
1990,26,Setembro,55
1990,26,Outubro,80
1990,26,Novembro,50
1990,26,Dezembro,46
1990,27,Janeiro,511
1990,27,Fevereiro,4
1990,27,Março,40
1990,27,Abril,82
1990,27,Maio,138
1990,27,Junho,48
1990,27,Julho,93
1990,27,Agosto,61
1990,27,Setembro,63
1990,27,Outubro,648
1990,27,Novembro,30
1990,27,Dezembro,126
1990,28,Janeiro,102
1990,28,Fevereiro,48
1990,28,Março,56
1990,28,Abril,624
1990,28,Maio,52
1990,28,Junho,76
1990,28,Julho,1717
1990,28,Agosto,61
1990,28,Setembro,103
1990,28,Outubro,124
1990,28,Novembro,40
1990,28,Dezembro,149
1990,29,Janeiro,58
1990,29,Fevereiro,NA
1990,29,Março,51
1990,29,Abril,142
1990,29,Maio,35
1990,29,Junho,76
1990,29,Julho,454
1990,29,Agosto,75
1990,29,Setembro,920
1990,29,Outubro,66
1990,29,Novembro,51
1990,29,Dezembro,1355
1990,30,Janeiro,44
1990,30,Fevereiro,NA
1990,30,Março,67
1990,30,Abril,65
1990,30,Maio,51
1990,30,Junho,762
1990,30,Julho,99
1990,30,Agosto,80
1990,30,Setembro,224
1990,30,Outubro,46
1990,30,Novembro,74
1990,30,Dezembro,294
1990,31,Janeiro,53
1990,31,Fevereiro,NA
1990,31,Março,507
1990,31,Abril,NA
1990,31,Maio,62
1990,31,Junho,NA
1990,31,Julho,47
1990,31,Agosto,83
1990,31,Setembro,NA
1990,31,Outubro,69
1990,31,Novembro,NA
1990,31,Dezembro,62
1991,01,Janeiro,30
1991,01,Fevereiro,61
1991,01,Março,53
1991,01,Abril,51
1991,01,Maio,27
1991,01,Junho,692
1991,01,Julho,40
1991,01,Agosto,56
1991,01,Setembro,485
1991,01,Outubro,39
1991,01,Novembro,26
1991,01,Dezembro,107
1991,02,Janeiro,55
1991,02,Fevereiro,453
1991,02,Março,495
1991,02,Abril,45
1991,02,Maio,65
1991,02,Junho,130
1991,02,Julho,38
1991,02,Agosto,91
1991,02,Setembro,70
1991,02,Outubro,35
1991,02,Novembro,102
1991,02,Dezembro,50
1991,03,Janeiro,72
1991,03,Fevereiro,86
1991,03,Março,129
1991,03,Abril,58
1991,03,Maio,86
1991,03,Junho,53
1991,03,Julho,38
1991,03,Agosto,1906
1991,03,Setembro,41
1991,03,Outubro,64
1991,03,Novembro,132
1991,03,Dezembro,32
1991,04,Janeiro,90
1991,04,Fevereiro,56
1991,04,Março,47
1991,04,Abril,84
1991,04,Maio,789
1991,04,Junho,34
1991,04,Julho,51
1991,04,Agosto,578
1991,04,Setembro,58
1991,04,Outubro,83
1991,04,Novembro,41
1991,04,Dezembro,50
1991,05,Janeiro,830
1991,05,Fevereiro,40
1991,05,Março,41
1991,05,Abril,87
1991,05,Maio,201
1991,05,Junho,36
1991,05,Julho,87
1991,05,Agosto,84
1991,05,Setembro,72
1991,05,Outubro,952
1991,05,Novembro,49
1991,05,Dezembro,58
1991,06,Janeiro,190
1991,06,Fevereiro,42
1991,06,Março,59
1991,06,Abril,1168
1991,06,Maio,65
1991,06,Junho,69
1991,06,Julho,1031
1991,06,Agosto,46
1991,06,Setembro,108
1991,06,Outubro,119
1991,06,Novembro,52
1991,06,Dezembro,77
1991,07,Janeiro,60
1991,07,Fevereiro,67
1991,07,Março,58
1991,07,Abril,220
1991,07,Maio,41
1991,07,Junho,73
1991,07,Julho,236
1991,07,Agosto,64
1991,07,Setembro,1778
1991,07,Outubro,49
1991,07,Novembro,70
1991,07,Dezembro,895
1991,08,Janeiro,51
1991,08,Fevereiro,61
1991,08,Março,70
1991,08,Abril,45
1991,08,Maio,45
1991,08,Junho,722
1991,08,Julho,61
1991,08,Agosto,92
1991,08,Setembro,431
1991,08,Outubro,45
1991,08,Novembro,57
1991,08,Dezembro,254
1991,09,Janeiro,65
1991,09,Fevereiro,453
1991,09,Março,543
1991,09,Abril,51
1991,09,Maio,46
1991,09,Junho,300
1991,09,Julho,54
1991,09,Agosto,103
1991,09,Setembro,62
1991,09,Outubro,33
1991,09,Novembro,640
1991,09,Dezembro,66
1991,10,Janeiro,62
1991,10,Fevereiro,72
1991,10,Março,136
1991,10,Abril,47
1991,10,Maio,67
1991,10,Junho,34
1991,10,Julho,57
1991,10,Agosto,2153
1991,10,Setembro,56
1991,10,Outubro,73
1991,10,Novembro,107
1991,10,Dezembro,37
1991,11,Janeiro,60
1991,11,Fevereiro,50
1991,11,Março,49
1991,11,Abril,51
1991,11,Maio,643
1991,11,Junho,38
1991,11,Julho,51
1991,11,Agosto,622
1991,11,Setembro,54
1991,11,Outubro,60
1991,11,Novembro,43
1991,11,Dezembro,44
1991,12,Janeiro,618
1991,12,Fevereiro,4
1991,12,Março,37
1991,12,Abril,93
1991,12,Maio,192
1991,12,Junho,59
1991,12,Julho,73
1991,12,Agosto,101
1991,12,Setembro,95
1991,12,Outubro,919
1991,12,Novembro,36
1991,12,Dezembro,83
1991,13,Janeiro,62
1991,13,Fevereiro,30
1991,13,Março,47
1991,13,Abril,478
1991,13,Maio,17
1991,13,Junho,66
1991,13,Julho,851
1991,13,Agosto,40
1991,13,Setembro,45
1991,13,Outubro,146
1991,13,Novembro,28
1991,13,Dezembro,50
1991,14,Janeiro,38
1991,14,Fevereiro,77
1991,14,Março,68
1991,14,Abril,134
1991,14,Maio,52
1991,14,Junho,56
1991,14,Julho,278
1991,14,Agosto,159
1991,14,Setembro,1453
1991,14,Outubro,46
1991,14,Novembro,51
1991,14,Dezembro,955
1991,15,Janeiro,46
1991,15,Fevereiro,62
1991,15,Março,60
1991,15,Abril,56
1991,15,Maio,50
1991,15,Junho,743
1991,15,Julho,53
1991,15,Agosto,479
1991,15,Setembro,383
1991,15,Outubro,35
1991,15,Novembro,66
1991,15,Dezembro,190
1991,16,Janeiro,44
1991,16,Fevereiro,421
1991,16,Março,556
1991,16,Abril,39
1991,16,Maio,56
1991,16,Junho,119
1991,16,Julho,41
1991,16,Agosto,98
1991,16,Setembro,62
1991,16,Outubro,39
1991,16,Novembro,512
1991,16,Dezembro,88
1991,17,Janeiro,54
1991,17,Fevereiro,70
1991,17,Março,95
1991,17,Abril,53
1991,17,Maio,51
1991,17,Junho,53
1991,17,Julho,54
1991,17,Agosto,2030
1991,17,Setembro,45
1991,17,Outubro,68
1991,17,Novembro,69
1991,17,Dezembro,59
1991,18,Janeiro,67
1991,18,Fevereiro,51
1991,18,Março,46
1991,18,Abril,53
1991,18,Maio,686
1991,18,Junho,37
1991,18,Julho,61
1991,18,Agosto,506
1991,18,Setembro,37
1991,18,Outubro,76
1991,18,Novembro,37
1991,18,Dezembro,88
1991,19,Janeiro,515
1991,19,Fevereiro,38
1991,19,Março,41
1991,19,Abril,62
1991,19,Maio,154
1991,19,Junho,50
1991,19,Julho,67
1991,19,Agosto,86
1991,19,Setembro,64
1991,19,Outubro,621
1991,19,Novembro,34
1991,19,Dezembro,94
1991,20,Janeiro,76
1991,20,Fevereiro,47
1991,20,Março,39
1991,20,Abril,639
1991,20,Maio,57
1991,20,Junho,63
1991,20,Julho,1355
1991,20,Agosto,68
1991,20,Setembro,79
1991,20,Outubro,117
1991,20,Novembro,41
1991,20,Dezembro,142
1991,21,Janeiro,64
1991,21,Fevereiro,56
